record_id,date_time,building_type,city_zone,energy_consumption_kwh,temperature_celsius,occupancy_level,peak_hour,renewable_energy_used_percent,peak_load_risk
692,2024-01-29 19:00:00,Residential,West,392.66,5.5,183,No,21.9,Low
693,2024-01-29 20:00:00,Industrial,North,65.64,44.9,309,No,32.7,Medium
694,2024-01-29 21:00:00,Industrial,Central,319.28,16.2,306,Yes,55.9,Low
695,2024-01-29 22:00:00,Residential,South,66.3,31.7,72,Yes,51.1,High
696,2024-01-29 23:00:00,Commercial,Central,39.92,12.1,219,Yes,42.6,Medium
697,2024-01-30 00:00:00,Industrial,East,455.17,28.2,207,No,61.5,Medium
698,2024-01-30 01:00:00,Residential,East,99.11,41.2,173,No,60.6,High
699,2024-01-30 02:00:00,Residential,East,411.52,17.8,141,No,49.4,Low
700,2024-01-30 03:00:00,Commercial,Central,274.59,31.8,272,No,63.0,Low
701,2024-01-30 04:00:00,Industrial,West,43.54,12.5,214,Yes,26.7,Low
702,2024-01-30 05:00:00,Industrial,South,477.95,30.0,468,No,70.5,Low
703,2024-01-30 06:00:00,Residential,East,127.25,18.5,269,No,49.2,Medium
704,2024-01-30 07:00:00,Residential,East,430.52,13.4,20,Yes,65.8,Low
705,2024-01-30 08:00:00,Commercial,East,88.56,17.5,66,No,43.7,Low
706,2024-01-30 09:00:00,Commercial,South,427.7,12.2,483,Yes,17.5,High
707,2024-01-30 10:00:00,Industrial,East,11.55,41.1,303,No,43.4,Low
708,2024-01-30 11:00:00,Industrial,South,258.33,20.9,147,No,29.7,Medium
709,2024-01-30 12:00:00,Residential,East,385.87,14.8,429,No,55.8,Low
710,2024-01-30 13:00:00,Industrial,Central,467.72,22.9,165,No,38.1,Low
711,2024-01-30 14:00:00,Commercial,Central,455.06,17.8,378,Yes,66.9,Medium
712,2024-01-30 15:00:00,Commercial,South,410.71,34.8,310,No,54.2,High
713,2024-01-30 16:00:00,Residential,Central,444.65,43.8,6,Yes,54.8,Low
714,2024-01-30 17:00:00,Commercial,South,103.61,22.5,14,No,17.4,Low
715,2024-01-30 18:00:00,Commercial,Central,145.67,39.4,132,No,78.7,Low
716,2024-01-30 19:00:00,Commercial,Central,148.04,27.6,342,No,67.3,Low
717,2024-01-30 20:00:00,Commercial,South,191.64,11.3,243,Yes,63.1,Low
718,2024-01-30 21:00:00,Residential,West,199.69,32.6,439,No,26.4,Medium
719,2024-01-30 22:00:00,Residential,Central,274.55,25.5,231,No,42.9,Low
720,2024-01-30 23:00:00,Industrial,East,84.14,31.0,228,No,11.0,Medium
721,2024-01-31 00:00:00,Commercial,West,347.17,40.6,162,Yes,43.1,Medium
722,2024-01-31 01:00:00,Industrial,South,87.95,22.6,283,Yes,11.7,Low
723,2024-01-31 02:00:00,Residential,West,158.6,41.0,263,Yes,44.2,Low
724,2024-01-31 03:00:00,Residential,North,254.16,35.0,131,No,51.9,High
725,2024-01-31 04:00:00,Residential,North,399.24,24.5,431,No,31.2,Low
726,2024-01-31 05:00:00,Residential,Central,371.04,29.1,225,No,39.9,Medium
727,2024-01-31 06:00:00,Residential,Central,324.54,18.0,258,Yes,70.1,Low
728,2024-01-31 07:00:00,Residential,East,82.11,44.3,234,Yes,8.7,Medium
729,2024-01-31 08:00:00,Residential,West,275.79,31.7,336,No,63.3,Low
730,2024-01-31 09:00:00,Commercial,North,48.29,6.8,409,No,13.7,Low
731,2024-01-31 10:00:00,Industrial,Central,191.79,18.1,316,No,2.9,Low
732,2024-01-31 11:00:00,Residential,West,209.69,29.9,463,No,14.8,Low
733,2024-01-31 12:00:00,Commercial,Central,24.71,7.3,24,No,61.2,High
734,2024-01-31 13:00:00,Commercial,Central,140.62,6.0,271,No,32.4,Medium
735,2024-01-31 14:00:00,Industrial,North,478.05,23.0,95,No,69.8,Low
736,2024-01-31 15:00:00,Residential,North,477.05,18.3,142,No,42.0,Medium
737,2024-01-31 16:00:00,Industrial,Central,179.4,22.5,182,Yes,1.8,High
738,2024-01-31 17:00:00,Residential,South,26.33,15.5,206,Yes,57.3,Medium
739,2024-01-31 18:00:00,Commercial,Central,93.65,11.6,390,Yes,8.8,Low
740,2024-01-31 19:00:00,Commercial,Central,199.15,32.6,462,No,63.2,High
741,2024-01-31 20:00:00,Commercial,East,474.15,25.6,81,Yes,13.4,Low
742,2024-01-31 21:00:00,Commercial,East,74.89,13.0,274,Yes,27.6,Medium
743,2024-01-31 22:00:00,Industrial,East,382.94,17.8,276,Yes,60.9,Medium
744,2024-01-31 23:00:00,Residential,South,58.8,28.7,371,No,76.3,High
745,2024-02-01 00:00:00,Residential,South,490.72,7.9,446,Yes,29.7,High
746,2024-02-01 01:00:00,Industrial,Central,193.9,10.9,465,No,66.4,High
747,2024-02-01 02:00:00,Residential,East,388.74,7.9,208,Yes,15.3,Low
748,2024-02-01 03:00:00,Commercial,South,174.58,37.5,296,Yes,64.6,High
749,2024-02-01 04:00:00,Residential,North,315.7,35.1,39,No,52.6,Low
750,2024-02-01 05:00:00,Commercial,Central,100.05,35.1,436,Yes,15.4,Low
751,2024-02-01 06:00:00,Industrial,West,77.28,33.7,288,Yes,24.2,Medium
752,2024-02-01 07:00:00,Residential,Central,469.34,31.8,124,Yes,10.5,Medium
753,2024-02-01 08:00:00,Industrial,West,459.24,24.1,364,No,30.6,Medium
754,2024-02-01 09:00:00,Residential,East,444.3,30.7,457,No,16.3,Medium
755,2024-02-01 10:00:00,Commercial,West,314.59,6.5,283,Yes,51.5,High
756,2024-02-01 11:00:00,Industrial,East,405.09,29.9,366,Yes,79.6,Low
757,2024-02-01 12:00:00,Residential,North,39.17,36.1,180,No,1.0,Low
758,2024-02-01 13:00:00,Commercial,West,170.72,25.0,97,No,43.3,High
759,2024-02-01 14:00:00,Industrial,Central,160.28,19.3,191,No,45.9,Low
760,2024-02-01 15:00:00,Industrial,East,319.64,16.1,74,No,73.1,Medium
761,2024-02-01 16:00:00,Residential,Central,181.2,30.7,447,No,40.5,Medium
762,2024-02-01 17:00:00,Residential,South,78.51,32.7,273,No,43.5,Medium
763,2024-02-01 18:00:00,Residential,East,300.25,39.8,497,No,37.7,Medium
764,2024-02-01 19:00:00,Commercial,West,408.12,18.7,49,No,21.5,Low
765,2024-02-01 20:00:00,Residential,East,194.15,35.8,484,Yes,4.5,High
766,2024-02-01 21:00:00,Industrial,Central,70.47,27.5,337,No,32.7,Low
767,2024-02-01 22:00:00,Industrial,North,102.36,40.3,210,No,4.2,Low
768,2024-02-01 23:00:00,Residential,East,122.55,26.1,116,Yes,44.0,Low
769,2024-02-02 00:00:00,Residential,West,153.45,25.7,23,No,24.6,Medium
770,2024-02-02 01:00:00,Industrial,South,323.18,28.1,98,No,42.7,Medium
771,2024-02-02 02:00:00,Commercial,North,302.47,35.0,328,No,10.7,High
772,2024-02-02 03:00:00,Residential,South,349.56,43.6,397,No,74.6,Medium
773,2024-02-02 04:00:00,Residential,East,184.44,7.9,407,No,71.6,Medium
774,2024-02-02 05:00:00,Industrial,Central,412.88,7.1,313,Yes,15.2,High
775,2024-02-02 06:00:00,Residential,Central,106.02,42.5,190,No,27.5,Medium
776,2024-02-02 07:00:00,Commercial,West,237.18,26.2,182,No,49.1,Medium
777,2024-02-02 08:00:00,Industrial,Central,401.46,29.6,148,Yes,7.7,Medium
778,2024-02-02 09:00:00,Residential,North,94.18,24.3,342,Yes,28.4,Low
779,2024-02-02 10:00:00,Industrial,Central,59.38,8.7,495,No,20.1,High
780,2024-02-02 11:00:00,Residential,West,442.42,35.7,436,Yes,73.2,Low
781,2024-02-02 12:00:00,Residential,East,174.75,34.9,23,No,68.2,Medium
782,2024-02-02 13:00:00,Residential,East,343.52,17.5,105,Yes,46.4,Medium
783,2024-02-02 14:00:00,Commercial,Central,17.55,17.2,163,Yes,41.6,High
784,2024-02-02 15:00:00,Commercial,South,346.57,38.5,67,No,74.5,High
785,2024-02-02 16:00:00,Industrial,East,161.47,7.9,290,Yes,74.6,Medium
786,2024-02-02 17:00:00,Residential,Central,32.59,40.2,289,No,77.5,Medium
787,2024-02-02 18:00:00,Residential,West,306.86,15.3,46,No,10.0,Low
788,2024-02-02 19:00:00,Commercial,Central,124.2,28.7,81,Yes,12.8,Medium
789,2024-02-02 20:00:00,Residential,East,196.47,42.4,429,Yes,54.1,High
790,2024-02-02 21:00:00,Commercial,West,44.89,32.1,147,Yes,43.3,High
791,2024-02-02 22:00:00,Residential,Central,77.85,21.6,222,Yes,1.5,High
792,2024-02-02 23:00:00,Industrial,North,152.5,32.6,343,No,5.0,Low
793,2024-02-03 00:00:00,Residential,West,49.43,18.8,15,No,71.0,High
794,2024-02-03 01:00:00,Residential,North,455.86,16.1,379,Yes,69.5,High
795,2024-02-03 02:00:00,Commercial,South,7.99,44.9,121,No,28.6,Low
796,2024-02-03 03:00:00,Residential,West,244.51,35.0,78,Yes,71.3,Medium
797,2024-02-03 04:00:00,Residential,North,66.01,30.8,322,Yes,47.5,Medium
798,2024-02-03 05:00:00,Commercial,East,157.3,19.2,295,Yes,64.5,Medium
799,2024-02-03 06:00:00,Industrial,East,463.4,7.0,241,No,34.2,High
800,2024-02-03 07:00:00,Industrial,South,85.04,6.2,18,No,9.1,Medium
801,2024-02-03 08:00:00,Commercial,West,483.09,27.2,256,No,34.7,Medium
802,2024-02-03 09:00:00,Commercial,West,106.87,35.5,454,Yes,36.6,Medium
803,2024-02-03 10:00:00,Commercial,West,372.08,26.5,443,Yes,44.1,Medium
804,2024-02-03 11:00:00,Commercial,South,275.61,38.6,416,No,8.4,High
805,2024-02-03 12:00:00,Commercial,West,442.82,6.3,277,No,79.3,Medium
806,2024-02-03 13:00:00,Industrial,East,279.23,19.7,424,No,19.5,Low
807,2024-02-03 14:00:00,Industrial,North,269.61,14.5,476,Yes,15.9,Low
808,2024-02-03 15:00:00,Commercial,East,101.75,22.9,27,Yes,42.1,Low
809,2024-02-03 16:00:00,Residential,East,87.28,7.9,2,No,43.0,Medium
810,2024-02-03 17:00:00,Commercial,North,458.66,43.2,353,No,35.2,High
811,2024-02-03 18:00:00,Residential,East,167.28,13.9,464,No,61.8,Low
812,2024-02-03 19:00:00,Commercial,South,189.18,41.9,295,No,41.3,Low
813,2024-02-03 20:00:00,Commercial,North,381.11,22.0,470,No,48.8,Low
814,2024-02-03 21:00:00,Industrial,East,172.72,44.4,312,No,57.9,Medium
815,2024-02-03 22:00:00,Residential,Central,476.27,27.2,363,No,2.0,High
816,2024-02-03 23:00:00,Residential,East,370.27,42.2,383,No,45.7,Medium
817,2024-02-04 00:00:00,Industrial,South,300.73,5.2,239,No,70.7,Medium
818,2024-02-04 01:00:00,Industrial,West,441.04,34.9,13,Yes,1.4,Medium
819,2024-02-04 02:00:00,Industrial,East,29.55,41.1,382,Yes,32.4,Low
820,2024-02-04 03:00:00,Industrial,West,132.25,10.6,184,No,74.1,Medium
821,2024-02-04 04:00:00,Residential,Central,235.19,8.8,194,No,28.3,Medium
822,2024-02-04 05:00:00,Residential,East,117.35,22.0,462,No,36.7,Medium
823,2024-02-04 06:00:00,Commercial,North,373.23,42.3,56,Yes,78.5,High
824,2024-02-04 07:00:00,Commercial,West,460.01,26.7,230,Yes,15.9,Medium
825,2024-02-04 08:00:00,Industrial,Central,214.77,26.1,489,No,5.2,Medium
826,2024-02-04 09:00:00,Industrial,North,174.36,10.6,28,Yes,68.8,High
827,2024-02-04 10:00:00,Industrial,North,480.97,5.0,320,Yes,69.5,High
828,2024-02-04 11:00:00,Commercial,North,225.2,37.4,71,Yes,37.8,Medium
829,2024-02-04 12:00:00,Commercial,North,247.08,8.5,210,No,41.1,Low
830,2024-02-04 13:00:00,Commercial,East,179.07,30.4,448,Yes,66.9,Medium
831,2024-02-04 14:00:00,Commercial,East,455.23,41.6,184,No,59.1,Medium
832,2024-02-04 15:00:00,Commercial,East,286.63,13.3,425,No,21.2,Low
833,2024-02-04 16:00:00,Commercial,Central,382.28,31.6,375,No,1.4,Low
834,2024-02-04 17:00:00,Commercial,Central,406.84,8.1,356,No,38.4,Low
835,2024-02-04 18:00:00,Industrial,Central,174.22,29.2,41,Yes,68.7,Medium
836,2024-02-04 19:00:00,Industrial,South,219.68,11.6,484,Yes,71.7,Medium
837,2024-02-04 20:00:00,Industrial,Central,424.99,34.4,492,Yes,76.5,Low
838,2024-02-04 21:00:00,Industrial,East,184.81,17.0,260,No,70.4,Low
839,2024-02-04 22:00:00,Commercial,East,398.0,23.5,441,Yes,46.4,Medium
840,2024-02-04 23:00:00,Residential,South,470.79,29.0,414,Yes,35.6,Low
841,2024-02-05 00:00:00,Commercial,South,313.49,11.9,344,No,62.0,Low
842,2024-02-05 01:00:00,Residential,Central,372.11,34.7,84,Yes,59.2,Medium
843,2024-02-05 02:00:00,Industrial,West,403.52,17.1,46,Yes,43.1,Medium
844,2024-02-05 03:00:00,Commercial,South,423.29,31.5,440,No,7.0,Low
845,2024-02-05 04:00:00,Industrial,North,200.55,11.3,159,No,74.1,Medium
846,2024-02-05 05:00:00,Commercial,East,30.38,32.5,344,Yes,36.4,Low
847,2024-02-05 06:00:00,Industrial,North,203.93,10.1,7,Yes,29.1,Medium
848,2024-02-05 07:00:00,Residential,East,338.51,22.0,474,No,50.4,Low
849,2024-02-05 08:00:00,Residential,East,227.92,14.9,333,Yes,53.9,Low
850,2024-02-05 09:00:00,Residential,South,375.74,34.9,438,No,16.9,Medium
851,2024-02-05 10:00:00,Commercial,South,181.71,15.5,136,Yes,67.0,Medium
852,2024-02-05 11:00:00,Residential,North,319.2,40.3,183,No,23.2,Low
853,2024-02-05 12:00:00,Commercial,East,97.28,40.7,197,Yes,14.9,Low
854,2024-02-05 13:00:00,Residential,North,375.94,12.9,172,No,32.5,High
855,2024-02-05 14:00:00,Residential,West,275.12,29.6,397,Yes,58.4,Medium
856,2024-02-05 15:00:00,Commercial,North,106.01,8.5,349,No,77.2,Low
857,2024-02-05 16:00:00,Commercial,Central,149.5,20.7,276,Yes,64.7,Medium
858,2024-02-05 17:00:00,Residential,North,375.56,33.5,78,Yes,75.2,Low
859,2024-02-05 18:00:00,Commercial,Central,243.89,31.4,416,No,11.2,Medium
860,2024-02-05 19:00:00,Residential,Central,111.94,30.0,444,No,5.7,Low
861,2024-02-05 20:00:00,Commercial,Central,483.8,16.3,178,No,44.6,Low
862,2024-02-05 21:00:00,Industrial,West,358.99,20.1,27,No,23.2,Low
863,2024-02-05 22:00:00,Industrial,North,478.78,9.1,120,No,66.2,Medium
864,2024-02-05 23:00:00,Industrial,North,216.42,33.8,281,No,53.8,Low
865,2024-02-06 00:00:00,Industrial,West,240.17,25.2,308,No,77.7,Low
866,2024-02-06 01:00:00,Industrial,East,449.49,33.4,196,No,20.4,Low
867,2024-02-06 02:00:00,Residential,South,264.9,15.0,277,Yes,38.9,Low
868,2024-02-06 03:00:00,Industrial,North,355.1,18.0,18,No,40.1,Medium
869,2024-02-06 04:00:00,Industrial,South,129.83,18.4,295,No,19.1,Low
870,2024-02-06 05:00:00,Industrial,West,226.13,6.0,271,Yes,47.2,Medium
871,2024-02-06 06:00:00,Industrial,East,66.11,18.6,53,No,35.5,Low
872,2024-02-06 07:00:00,Commercial,East,106.96,37.1,294,Yes,35.7,Low
873,2024-02-06 08:00:00,Residential,East,5.47,40.9,432,No,29.0,Medium
874,2024-02-06 09:00:00,Industrial,West,24.44,25.7,52,Yes,1.4,High
875,2024-02-06 10:00:00,Industrial,Central,488.76,23.2,216,Yes,41.8,Low
876,2024-02-06 11:00:00,Industrial,Central,124.97,6.2,72,No,26.8,Low
877,2024-02-06 12:00:00,Residential,South,333.34,40.2,28,No,0.1,Medium
878,2024-02-06 13:00:00,Commercial,Central,420.35,5.5,469,No,24.6,High
879,2024-02-06 14:00:00,Residential,Central,277.58,42.8,400,No,22.3,High
880,2024-02-06 15:00:00,Commercial,East,80.81,24.6,252,No,31.5,Medium
881,2024-02-06 16:00:00,Industrial,East,365.42,18.7,374,Yes,10.5,Medium
882,2024-02-06 17:00:00,Industrial,South,302.12,42.0,400,No,40.6,Medium
883,2024-02-06 18:00:00,Residential,North,366.97,6.0,35,No,55.4,Medium
884,2024-02-06 19:00:00,Residential,South,386.02,28.3,401,No,50.4,Medium
885,2024-02-06 20:00:00,Commercial,South,487.83,27.0,201,Yes,64.3,High
886,2024-02-06 21:00:00,Commercial,West,288.91,13.8,249,No,36.2,Medium
887,2024-02-06 22:00:00,Residential,West,174.11,22.2,99,Yes,41.5,Medium
888,2024-02-06 23:00:00,Commercial,South,325.99,31.1,308,No,64.8,Medium
889,2024-02-07 00:00:00,Residential,South,38.88,34.1,477,No,34.2,Medium
890,2024-02-07 01:00:00,Commercial,South,449.21,5.0,487,No,56.1,Medium
891,2024-02-07 02:00:00,Residential,Central,64.09,42.5,466,No,34.8,Medium
892,2024-02-07 03:00:00,Residential,West,167.28,11.6,140,Yes,33.4,Low
893,2024-02-07 04:00:00,Residential,South,408.79,14.3,83,No,60.8,Low
894,2024-02-07 05:00:00,Commercial,East,300.67,15.5,48,No,14.0,Medium
895,2024-02-07 06:00:00,Commercial,East,199.85,6.5,278,Yes,27.1,High
896,2024-02-07 07:00:00,Commercial,Central,239.35,9.9,379,No,17.9,Low
897,2024-02-07 08:00:00,Residential,Central,428.0,44.5,248,Yes,28.7,Medium
898,2024-02-07 09:00:00,Commercial,North,173.3,17.6,383,No,18.4,Low
899,2024-02-07 10:00:00,Commercial,North,435.48,9.6,177,No,46.4,Low
900,2024-02-07 11:00:00,Residential,North,48.63,9.3,52,No,63.9,High
901,2024-02-07 12:00:00,Industrial,Central,389.52,33.8,79,Yes,62.9,High
902,2024-02-07 13:00:00,Residential,Central,424.54,39.2,385,Yes,29.2,Low
903,2024-02-07 14:00:00,Commercial,Central,95.0,15.3,322,No,79.1,Medium
904,2024-02-07 15:00:00,Residential,East,218.02,5.8,64,No,47.5,Low
905,2024-02-07 16:00:00,Industrial,Central,86.92,13.9,8,Yes,32.0,High
906,2024-02-07 17:00:00,Residential,East,354.77,7.3,214,Yes,66.8,Low
907,2024-02-07 18:00:00,Commercial,North,270.0,9.1,25,Yes,58.4,Low
908,2024-02-07 19:00:00,Industrial,North,319.49,22.3,450,No,59.9,Medium
909,2024-02-07 20:00:00,Commercial,North,102.26,14.2,256,No,15.7,High
910,2024-02-07 21:00:00,Industrial,South,109.81,25.6,243,No,37.5,Low
911,2024-02-07 22:00:00,Industrial,South,25.54,15.1,457,No,68.9,Medium
912,2024-02-07 23:00:00,Residential,West,164.42,42.6,457,No,40.3,Low
913,2024-02-08 00:00:00,Residential,West,282.07,41.2,461,No,54.7,High
914,2024-02-08 01:00:00,Commercial,West,429.68,27.7,198,Yes,47.0,Low
915,2024-02-08 02:00:00,Residential,South,335.13,19.2,94,No,67.4,High
916,2024-02-08 03:00:00,Residential,South,220.52,20.2,207,No,22.8,Medium
917,2024-02-08 04:00:00,Industrial,West,476.79,21.5,435,No,46.0,Low
918,2024-02-08 05:00:00,Residential,West,361.03,34.1,437,No,9.9,High
919,2024-02-08 06:00:00,Industrial,Central,465.43,23.1,15,No,55.2,High
920,2024-02-08 07:00:00,Industrial,West,266.16,39.3,178,No,58.6,Medium
921,2024-02-08 08:00:00,Industrial,Central,133.16,42.8,455,No,3.4,Low
922,2024-02-08 09:00:00,Commercial,East,31.15,18.4,378,Yes,54.1,Medium
923,2024-02-08 10:00:00,Commercial,South,364.41,27.4,75,No,33.2,Medium
924,2024-02-08 11:00:00,Commercial,West,65.04,8.8,104,No,9.9,Medium
925,2024-02-08 12:00:00,Industrial,South,154.87,13.0,294,Yes,33.6,Medium
926,2024-02-08 13:00:00,Commercial,South,268.57,21.5,168,No,15.5,Low
927,2024-02-08 14:00:00,Commercial,South,284.39,13.2,450,No,33.2,Medium
928,2024-02-08 15:00:00,Residential,East,302.29,40.1,115,Yes,30.7,Medium
929,2024-02-08 16:00:00,Commercial,North,87.3,11.3,496,No,59.1,Low
930,2024-02-08 17:00:00,Commercial,West,192.97,23.2,39,No,61.9,Medium
931,2024-02-08 18:00:00,Industrial,North,310.51,29.2,458,No,48.6,Medium
932,2024-02-08 19:00:00,Industrial,North,485.06,32.7,364,Yes,1.8,Medium
933,2024-02-08 20:00:00,Industrial,North,365.18,20.3,273,No,74.5,Low
934,2024-02-08 21:00:00,Industrial,South,461.69,39.8,135,Yes,54.9,Medium
935,2024-02-08 22:00:00,Industrial,Central,382.29,27.7,374,No,2.7,Low
936,2024-02-08 23:00:00,Industrial,South,297.9,22.6,232,No,65.5,Medium
937,2024-02-09 00:00:00,Commercial,South,100.05,7.7,39,No,16.0,Medium
938,2024-02-09 01:00:00,Industrial,North,335.01,23.6,452,Yes,46.3,Medium
939,2024-02-09 02:00:00,Industrial,South,313.57,37.8,291,Yes,37.3,Low
940,2024-02-09 03:00:00,Residential,North,303.22,29.6,307,Yes,33.6,Medium
941,2024-02-09 04:00:00,Commercial,Central,247.44,38.3,47,Yes,71.2,High
942,2024-02-09 05:00:00,Commercial,West,266.69,24.8,36,No,35.0,Low
943,2024-02-09 06:00:00,Commercial,North,170.55,9.7,320,No,6.0,High
944,2024-02-09 07:00:00,Industrial,Central,262.06,5.5,95,No,75.7,Medium
945,2024-02-09 08:00:00,Industrial,West,102.79,17.1,473,No,73.6,Medium
946,2024-02-09 09:00:00,Industrial,East,403.56,32.9,361,Yes,54.8,Low
947,2024-02-09 10:00:00,Residential,North,96.96,36.6,13,Yes,37.4,Low
948,2024-02-09 11:00:00,Industrial,North,47.06,16.8,146,Yes,7.4,High
949,2024-02-09 12:00:00,Residential,East,220.94,24.8,405,No,63.3,Low
950,2024-02-09 13:00:00,Commercial,East,330.86,21.8,368,No,6.0,Low
951,2024-02-09 14:00:00,Industrial,North,221.67,21.4,65,Yes,5.5,Medium
952,2024-02-09 15:00:00,Residential,East,141.99,14.3,228,Yes,43.0,Low
953,2024-02-09 16:00:00,Residential,South,281.29,10.5,242,No,12.8,Medium
954,2024-02-09 17:00:00,Industrial,West,176.77,12.9,8,No,0.6,Medium
955,2024-02-09 18:00:00,Commercial,West,466.77,7.2,304,No,33.8,High
956,2024-02-09 19:00:00,Commercial,West,461.71,12.9,341,No,11.0,Medium
957,2024-02-09 20:00:00,Commercial,South,253.67,5.4,43,Yes,12.8,Low
958,2024-02-09 21:00:00,Residential,East,167.3,30.1,244,No,6.2,Low
959,2024-02-09 22:00:00,Residential,Central,369.88,17.7,181,No,16.4,Medium
960,2024-02-09 23:00:00,Residential,East,23.17,43.9,85,Yes,57.2,Low
961,2024-02-10 00:00:00,Residential,North,240.01,12.7,155,No,64.7,High
962,2024-02-10 01:00:00,Commercial,West,171.48,18.8,275,No,36.2,Medium
963,2024-02-10 02:00:00,Industrial,East,460.67,19.3,23,Yes,40.5,Low
964,2024-02-10 03:00:00,Residential,Central,10.94,5.3,115,No,2.6,High
965,2024-02-10 04:00:00,Residential,North,278.64,38.6,306,Yes,5.5,Low
966,2024-02-10 05:00:00,Commercial,South,371.63,6.3,435,Yes,20.6,Low
967,2024-02-10 06:00:00,Industrial,South,245.08,42.6,299,No,43.5,Medium
968,2024-02-10 07:00:00,Industrial,Central,47.27,40.7,99,Yes,59.2,High
969,2024-02-10 08:00:00,Commercial,North,486.37,26.4,104,No,48.4,Medium
970,2024-02-10 09:00:00,Commercial,West,261.42,26.7,372,No,31.4,Low
971,2024-02-10 10:00:00,Industrial,East,309.02,31.2,51,Yes,9.5,Low
972,2024-02-10 11:00:00,Residential,North,122.12,20.5,362,No,62.5,Low
973,2024-02-10 12:00:00,Industrial,South,244.33,30.9,112,No,29.1,Low
974,2024-02-10 13:00:00,Commercial,Central,217.43,6.8,453,No,58.9,Low
975,2024-02-10 14:00:00,Residential,Central,42.07,7.2,244,No,41.0,Medium
976,2024-02-10 15:00:00,Residential,East,57.55,23.3,169,Yes,59.1,High
977,2024-02-10 16:00:00,Commercial,Central,419.55,27.0,72,No,72.6,Low
978,2024-02-10 17:00:00,Commercial,Central,123.71,40.5,139,No,73.7,Low
979,2024-02-10 18:00:00,Commercial,North,101.5,9.2,336,No,42.8,High
980,2024-02-10 19:00:00,Industrial,West,254.93,37.9,231,Yes,40.9,Medium
981,2024-02-10 20:00:00,Industrial,East,385.53,13.4,239,No,21.3,High
982,2024-02-10 21:00:00,Residential,North,35.66,20.8,472,Yes,74.9,Low
983,2024-02-10 22:00:00,Commercial,West,290.52,17.7,253,No,36.6,Low
984,2024-02-10 23:00:00,Residential,North,64.01,21.0,469,No,10.2,Medium
985,2024-02-11 00:00:00,Residential,North,23.05,11.0,436,No,34.6,Medium
986,2024-02-11 01:00:00,Residential,Central,31.11,25.1,407,No,10.2,Medium
987,2024-02-11 02:00:00,Residential,West,417.91,37.1,49,Yes,40.2,Medium
988,2024-02-11 03:00:00,Commercial,East,63.4,22.7,422,Yes,44.9,Low
989,2024-02-11 04:00:00,Residential,East,27.35,24.6,303,Yes,27.0,Medium
990,2024-02-11 05:00:00,Commercial,West,221.76,39.0,72,Yes,5.7,Medium
991,2024-02-11 06:00:00,Commercial,Central,422.78,33.2,263,Yes,75.5,Low
992,2024-02-11 07:00:00,Industrial,South,134.89,24.6,322,No,61.9,Medium
993,2024-02-11 08:00:00,Commercial,North,213.75,15.3,222,No,67.1,Medium
994,2024-02-11 09:00:00,Industrial,Central,24.76,40.4,77,Yes,29.3,Low
995,2024-02-11 10:00:00,Commercial,West,227.29,28.1,62,No,60.9,Low
996,2024-02-11 11:00:00,Commercial,North,290.92,13.8,471,No,38.8,Low
997,2024-02-11 12:00:00,Commercial,East,287.6,15.8,157,No,16.1,Low
998,2024-02-11 13:00:00,Industrial,South,169.55,37.1,294,No,10.0,Medium
999,2024-02-11 14:00:00,Industrial,East,161.19,6.8,125,Yes,27.6,High
1000,2024-02-11 15:00:00,Residential,West,57.78,44.7,229,No,11.0,Low
1001,2024-02-11 16:00:00,Industrial,North,186.57,10.2,340,No,79.9,Low
1002,2024-02-11 17:00:00,Industrial,West,54.25,36.8,161,Yes,3.9,High
1003,2024-02-11 18:00:00,Industrial,North,384.46,20.8,29,Yes,35.3,Low
1004,2024-02-11 19:00:00,Industrial,Central,483.31,24.7,114,Yes,36.2,Low
1005,2024-02-11 20:00:00,Residential,South,485.19,40.2,79,Yes,24.1,Low
1006,2024-02-11 21:00:00,Industrial,Central,433.21,21.5,23,No,45.7,Medium
1007,2024-02-11 22:00:00,Commercial,Central,302.39,26.5,106,No,12.0,Low
1008,2024-02-11 23:00:00,Commercial,West,351.93,7.0,131,Yes,62.7,Medium
1009,2024-02-12 00:00:00,Industrial,South,146.18,5.1,357,No,26.6,Low
1010,2024-02-12 01:00:00,Industrial,North,317.23,14.8,477,No,47.3,Low
1011,2024-02-12 02:00:00,Commercial,North,230.55,32.2,173,Yes,57.3,Low
1012,2024-02-12 03:00:00,Commercial,East,243.6,9.9,264,Yes,71.1,Medium
1013,2024-02-12 04:00:00,Residential,North,380.1,9.6,342,Yes,66.9,Medium
1014,2024-02-12 05:00:00,Commercial,West,144.55,21.4,373,Yes,48.7,Low
1015,2024-02-12 06:00:00,Commercial,Central,162.43,30.9,285,Yes,31.1,Low
1016,2024-02-12 07:00:00,Industrial,Central,462.7,33.5,2,Yes,40.3,Medium
1017,2024-02-12 08:00:00,Commercial,Central,32.83,12.1,233,No,61.5,High
1018,2024-02-12 09:00:00,Residential,South,245.39,8.2,369,No,70.2,Low
1019,2024-02-12 10:00:00,Commercial,North,456.84,42.6,251,Yes,8.3,Medium
1020,2024-02-12 11:00:00,Industrial,West,307.13,15.4,434,Yes,30.8,Low
1021,2024-02-12 12:00:00,Industrial,South,275.47,39.1,493,No,62.1,Low
1022,2024-02-12 13:00:00,Commercial,East,128.62,39.5,321,No,34.5,Low
